index_ndx,bathroom_label,bathrooms,bed_label,bedroom_label,bedrooms,beds,city,guest_label,id,is_new_listing,is_superhost,lat,lng,localized_city,person_capacity,property_type_id,room_and_property_type,room_type_category,room_type,space_type,tier_id,public_address,min_nights,max_nights,monthly_price_factor,rate_type,weekly_price_factor,rate_amount,rate_with_service_fee_amount,user_first_name,user_id,user_is_superhost,rawdata_file
34,1 bath,1.0,2 beds,Studio,0,2,Breckenridge,4 guests,658774,False,True,39.47503,-106.04626999999999,Breckenridge,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Breckenridge, CO, United States",2,60,0.8,nightly,0.9,113.0,113.0, ,3322523,True,airbnb_rawdata_breckenridge_20200303.json
15,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,3 guests,786890,False,True,39.57477,-106.10128999999999,Frisco,3,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,90,0.8,nightly,0.9,90.0,90.0, ,141040,True,airbnb_rawdata_frisco_20200302.json
37,1 bath,1.0,5 beds,2 bedrooms,2,5,Frisco,6 guests,821849,False,False,39.56921,-106.09306000000001,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,1125,1.0,nightly,1.0,100.0,100.0, ,4315444,False,airbnb_rawdata_frisco_20200304.json
47,1 private bath,1.0,1 bed,1 bedroom,1,1,Keystone,3 guests,883786,False,True,39.60691,-105.95378999999998,Keystone,3,37,Private room in condominium,private_room,Private room,Private room,0,"Keystone, CO, United States",1,30,1.0,nightly,0.82,155.0,155.0, ,4679520,True,airbnb_rawdata_montezuma_20200303.json
4,2 baths,2.0,6 beds,3 bedrooms,3,6,Montezuma,9 guests,1034128,False,True,39.583,-105.86785,Montezuma,9,22,Entire chalet,entire_home,Entire home/apt,Entire chalet,0,"Montezuma, CO, United States",2,1125,1.0,nightly,1.0,250.0,250.0, ,1272877,True,airbnb_rawdata_montezuma_20200301.json
30,1 bath,1.0,3 beds,2 bedrooms,2,3,Silverthorne,6 guests,1337222,False,False,39.61829,-106.0975,Silverthorne,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Silverthorne, CO, United States",2,30,0.85,nightly,0.9,89.0,89.0, ,7251948,False,airbnb_rawdata_wildernest_20200227.json
27,2 baths,2.0,3 beds,2 bedrooms,2,3,Dillon,6 guests,1767606,False,False,39.6275,-106.05103000000001,Dillon,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",2,1125,0.8,nightly,0.85,140.0,140.0, ,9286845,False,airbnb_rawdata_dillon_20200229.json
19,3 baths,3.0,6 beds,3 bedrooms,3,6,Breckenridge,9 guests,1805878,False,False,39.521209999999996,-106.04494,Breckenridge,9,2,Entire house,entire_home,Entire home/apt,Entire house,0,"Breckenridge, CO, United States",1,1120,1.0,nightly,1.0,167.0,167.0, ,9464767,False,airbnb_rawdata_breckenridge_20200304.json
16,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,4 guests,1839740,False,True,39.59329,-106.09125,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,30,0.9,nightly,1.0,110.0,110.0, ,9615270,True,airbnb_rawdata_frisco_20200227.json
16,1.5 baths,1.5,5 beds,3 bedrooms,3,5,Montezuma,8 guests,1844980,False,False,39.57966,-105.86798999999999,Montezuma,8,4,Entire cabin,entire_home,Entire home/apt,Entire cabin,0,"Montezuma, CO, United States",2,1125,0.77,nightly,0.9,150.0,150.0, ,9638856,False,airbnb_rawdata_montezuma_20200229.json
48,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,4 guests,1960538,False,False,39.49985,-106.14573999999999,Frisco,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",2,180,0.9,nightly,0.95,72.0,72.0, ,9486516,False,airbnb_rawdata_coppermountain_20200227.json
