tax_id,address,city,zip,beds,baths,sqft,year_built,property_type,sale_date,sale_price,file,sub_address,search_by_address,geometry,lat,lng
6508905,910 Copper RD  Unit #210,Copper Mtn,80443,1,2,790,2000,Condominium,2/10/17,420000,2017,910 Copper RD,910+Copper+RD+Frisco+CO,"{'lat': 39.501766, 'lng': -106.157572}",39.501765999999996,-106.157572
400372,317 S Fuller Placer RD,Breckenridge,80424,3,5,4557,2018,Sfr,10/18/17,275100,2017,317 S Fuller Placer RD,317+S+Fuller+Placer+RD+Breckenridge+CO,"{'lat': 39.4660605, 'lng': -106.0110134}",39.4660605,-106.01101340000001
3001037,060 Tennis Club RD  Unit #1605,Dillon,80435,1,1,918,1977,Condominium,7/21/17,264000,2017,060 Tennis Club RD,060+Tennis+Club+RD+Dillon+CO,"{'lat': 39.6087488, 'lng': -105.9748657}",39.608748799999994,-105.97486570000001
400233,1173 Ski Hill RD  Unit #126,Breckenridge,80424,2,2,780,1972,Condominium,5/4/17,380000,2017,1173 Ski Hill RD,1173+Ski+Hill+RD+Breckenridge+CO,"{'lat': 39.481508, 'lng': -106.059609}",39.481508000000005,-106.05960900000001
3001255,22320 Us Highway 6  Unit #1766,Dillon,80435,1,2,1168,1977,Condominium,7/13/17,395000,2017,22320 Us Highway 6,22320+Us+Highway+6+Dillon+CO,"{'lat': 39.6068755, 'lng': -105.9649734}",39.6068755,-105.96497340000002
6517665,193 Barton Ridge DR,Breckenridge,80424,6,6,4694,2018,Sfr,11/20/17,265000,2017,193 Barton Ridge DR,193+Barton+Ridge+DR+Breckenridge+CO,"{'lat': 39.5105267, 'lng': -106.0569052}",39.51052670000001,-106.05690520000002
6517656,89 Barton WAY,Breckenridge,80424,5,5,6288,2018,Sfr,11/30/17,189000,2017,89 Barton WAY,89+Barton+WAY+Breckenridge+CO,"{'lat': 39.5105267, 'lng': -106.0569052}",39.51052670000001,-106.05690520000002
6517652,6 Grove LN  Unit #1,Breckenridge,80424,1,2,816,2017,Townhouse,12/21/17,248298,2017,6 Grove LN,6+Grove+LN+Breckenridge+CO,"{'lat': 39.5106458, 'lng': -106.0504851}",39.5106458,-106.0504851
6517647,28 Grove LN  Unit #6,Breckenridge,80424,2,2,960,2017,Townhouse,12/20/17,237433,2017,28 Grove LN,28+Grove+LN+Breckenridge+CO,"{'lat': 39.5106458, 'lng': -106.0504851}",39.5106458,-106.0504851
6517616,421 Rainbow DR  Unit #23,Silverthorne,80498,2,2,1502,2015,Condominium,12/15/17,450000,2017,421 Rainbow DR,421+Rainbow+DR+Silverthorne+CO,"{'lat': 39.6336711, 'lng': -106.0730537}",39.6336711,-106.0730537
6517543,14 Damselfly,Silverthorne,80498,3,3,2468,2017,Townhouse,12/8/17,789000,2017,14 Damselfly,14+Damselfly+Silverthorne+CO,"{'lat': 39.6596272, 'lng': -106.0759475}",39.6596272,-106.07594750000001
6517540,408 Fly Line DR,Silverthorne,80498,3,3,2379,2017,Townhouse,10/25/17,789000,2017,408 Fly Line DR,408+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6567264, 'lng': -106.0737135}",39.6567264,-106.0737135
6517532,52 W Point Lode,Breckenridge,80424,4,5,2783,2016,Sfr,11/14/17,2500000,2017,52 W Point Lode,52+W+Point+Lode+Breckenridge+CO,"{'lat': 39.4895653, 'lng': -106.0566284}",39.4895653,-106.0566284
6517529,40 W Point Lode,Breckenridge,80424,4,5,2909,2016,Sfr,12/14/17,2400000,2017,40 W Point Lode,40+W+Point+Lode+Breckenridge+CO,"{'lat': 39.4895653, 'lng': -106.0566284}",39.4895653,-106.0566284
6517609,421 Rainbow DR  Unit #16,Silverthorne,80498,3,2,1668,2015,Condominium,12/8/17,545000,2017,421 Rainbow DR,421+Rainbow+DR+Silverthorne+CO,"{'lat': 39.6336711, 'lng': -106.0730537}",39.6336711,-106.0730537
6517252,456 Fly Line DR,Silverthorne,80498,3,3,2085,2016,Townhouse,6/19/17,779000,2017,456 Fly Line DR,456+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6566255, 'lng': -106.0746085}",39.6566255,-106.0746085
6517251,468 Fly Line DR,Silverthorne,80498,3,3,2193,2017,Townhouse,8/18/17,779000,2017,468 Fly Line DR,468+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6566255, 'lng': -106.0746085}",39.6566255,-106.0746085
6517249,492 Fly Line DR,Silverthorne,80498,3,3,2085,2016,Townhouse,4/28/17,779000,2017,492 Fly Line DR,492+Fly+Line+DR+Silverthorne+CO,"{'lat': 39.6566255, 'lng': -106.0746085}",39.6566255,-106.0746085
