tax_id,city,zip,beds,baths,sqft,year_built,property_type,sale_date,sale_price,lat,lng,sale_day,sale_month,sale_year
6508905,Copper Mtn,80443,1,2,790,2000,Condominium,2017-02-10,420000,39.501766,-106.157572,10,2,2017
3001037,Dillon,80435,1,1,918,1977,Condominium,2017-07-21,264000,39.6087488,-105.9748657,21,7,2017
400233,Breckenridge,80424,2,2,780,1972,Condominium,2017-05-04,380000,39.48150800000001,-106.059609,4,5,2017
3001255,Dillon,80435,1,2,1168,1977,Condominium,2017-07-13,395000,39.6068755,-105.96497340000002,13,7,2017
6517665,Breckenridge,80424,6,6,4694,2018,Sfr,2017-11-20,265000,39.51052670000001,-106.05690520000002,20,11,2017
6517652,Breckenridge,80424,1,2,816,2017,Townhouse,2017-12-21,248298,39.5106458,-106.0504851,21,12,2017
6517647,Breckenridge,80424,2,2,960,2017,Townhouse,2017-12-20,237433,39.5106458,-106.0504851,20,12,2017
6517616,Silverthorne,80498,2,2,1502,2015,Condominium,2017-12-15,450000,39.6336711,-106.0730537,15,12,2017
6517543,Silverthorne,80498,3,3,2468,2017,Townhouse,2017-12-08,789000,39.6596272,-106.0759475,8,12,2017
6517540,Silverthorne,80498,3,3,2379,2017,Townhouse,2017-10-25,789000,39.6567264,-106.0737135,25,10,2017
6517609,Silverthorne,80498,3,2,1668,2015,Condominium,2017-12-08,545000,39.6336711,-106.0730537,8,12,2017
6517252,Silverthorne,80498,3,3,2085,2016,Townhouse,2017-06-19,779000,39.6566255,-106.0746085,19,6,2017
6517251,Silverthorne,80498,3,3,2193,2017,Townhouse,2017-08-18,779000,39.6566255,-106.0746085,18,8,2017
6517249,Silverthorne,80498,3,3,2085,2016,Townhouse,2017-04-28,779000,39.6566255,-106.0746085,28,4,2017
6517238,Silverthorne,80498,3,4,2335,2016,Townhouse,2017-03-31,865000,39.6563048,-106.0741549,31,3,2017
6517237,Silverthorne,80498,3,3,1918,2016,Townhouse,2017-03-17,709000,39.6593245,-106.076124,17,3,2017
6517236,Silverthorne,80498,3,3,2095,2016,Townhouse,2017-03-10,792000,39.6593172,-106.0762422,10,3,2017
6517234,Silverthorne,80498,3,3,1986,2017,Townhouse,2017-06-30,715000,39.656558,-106.0744327,30,6,2017
6517233,Silverthorne,80498,3,3,2167,2017,Townhouse,2017-06-22,779000,39.65928570000001,-106.0764764,22,6,2017
6517232,Silverthorne,80498,3,4,2239,2016,Townhouse,2017-04-20,845000,39.65928570000001,-106.0764764,20,4,2017
6517231,Silverthorne,80498,3,3,1954,2016,Townhouse,2017-05-26,699000,39.65928570000001,-106.0764764,26,5,2017
6517230,Silverthorne,80498,3,3,2074,2016,Townhouse,2017-05-05,805000,39.65928570000001,-106.0764764,5,5,2017
6517205,Breckenridge,80424,4,5,8817,2017,Sfr,2017-05-30,678000,39.4939286,-106.027813,30,5,2017
6517183,Dillon,80435,3,4,2221,2016,Townhouse,2017-07-07,879000,39.6044885,-105.930301,7,7,2017
6517182,Dillon,80435,3,3,2008,2016,Townhouse,2017-06-09,739000,39.6044885,-105.930301,9,6,2017
6517181,Dillon,80435,3,4,2221,2016,Townhouse,2017-11-15,899000,39.6044885,-105.930301,15,11,2017
6517180,Dillon,80435,3,3,2103,2016,Townhouse,2017-03-17,809000,39.6044885,-105.930301,17,3,2017
6517179,Dillon,80435,3,3,2103,2016,Townhouse,2017-01-10,785000,39.6044885,-105.930301,10,1,2017
6517169,Breckenridge,80424,3,4,2298,2017,Sfr,2017-12-15,998000,39.53427420000001,-106.0452694,15,12,2017
6517167,Breckenridge,80424,3,4,2357,2016,Sfr,2017-06-08,995100,39.53427420000001,-106.0452694,8,6,2017
6517166,Breckenridge,80424,3,4,2319,2016,Sfr,2017-03-24,975000,39.53418,-106.0453067,24,3,2017
6517158,Breckenridge,80424,3,2,1292,2016,Sfr,2017-02-22,398064,39.4829843,-106.0277587,22,2,2017
6517157,Breckenridge,80424,2,2,1024,2016,Sfr,2017-03-06,334900,39.4825865,-106.0411643,6,3,2017
6517156,Breckenridge,80424,3,2,1292,2016,Sfr,2017-05-01,350900,39.4816537,-106.0383518,1,5,2017
6517155,Breckenridge,80424,2,2,1006,2016,Sfr,2017-05-19,354561,39.4816537,-106.0383518,19,5,2017
6517038,Breckenridge,80424,3,2,1524,2017,Sfr,2017-09-26,368415,39.482904100000006,-106.0280305,26,9,2017
6517036,Breckenridge,80424,3,2,1505,2017,Sfr,2017-10-19,496573,39.4816537,-106.0383518,19,10,2017
6517035,Breckenridge,80424,3,3,1561,2017,Sfr,2017-10-27,492274,39.4816537,-106.0383518,27,10,2017
6517031,Breckenridge,80424,3,3,1892,2017,Sfr,2017-12-15,522621,39.4828973,-106.0271548,15,12,2017
6517029,Breckenridge,80424,4,3,2128,2017,Sfr,2017-09-29,785952,39.4826403,-106.02808519999999,29,9,2017
6517028,Breckenridge,80424,3,3,1540,2017,Sfr,2017-07-28,486290,39.482561499999996,-106.0287051,28,7,2017
6517014,Breckenridge,80424,3,3,2203,2016,Sfr,2017-07-10,799100,39.5328569,-106.0389435,10,7,2017
6517013,Breckenridge,80424,3,3,2203,2016,Sfr,2017-07-21,799000,39.5327977,-106.0389156,21,7,2017
6516938,Breckenridge,80424,3,3,1221,2016,Sfr,2017-07-31,296000,39.4816537,-106.0383518,31,7,2017
6516827,Silverthorne,80498,3,3,2074,2011,Townhouse,2017-08-31,685000,39.653496,-106.073702,31,8,2017
6516824,Silverthorne,80498,3,3,2173,2011,Townhouse,2017-10-05,790000,39.65352499999999,-106.073356,5,10,2017
6516798,Silverthorne,80498,3,3,1726,2016,Townhouse,2017-07-27,575000,39.6388735,-106.0762971,27,7,2017
6516792,Silverthorne,80498,2,2,1169,2015,Condominium,2017-01-23,495000,39.6390976,-106.0752052,23,1,2017
6517037,Breckenridge,80424,4,4,2261,2017,Sfr,2017-06-30,515970,39.4829647,-106.0279107,30,6,2017
6517017,Breckenridge,80424,4,3,2128,2017,Sfr,2017-09-19,862346,39.4825865,-106.0411643,19,9,2017
6517024,Breckenridge,80424,3,4,1913,2017,Sfr,2017-06-09,528586,39.482695,-106.0283017,9,6,2017
6517025,Breckenridge,80424,3,2,1339,2016,Sfr,2017-05-19,421984,39.4825928,-106.02930220000002,19,5,2017
6517020,Breckenridge,80424,3,2,1304,2016,Sfr,2017-04-07,497239,39.4816537,-106.0383518,7,4,2017
6517019,Breckenridge,80424,3,3,1540,2016,Sfr,2017-03-21,473791,39.4816537,-106.0383518,21,3,2017
6516750,Breckenridge,80424,4,3,2419,2016,Sfr,2017-02-23,775200,39.4825865,-106.0411643,23,2,2017
6517026,Breckenridge,80424,3,3,2133,2017,Sfr,2017-10-11,527202,39.4816537,-106.0383518,11,10,2017
6516514,Silverthorne,80498,4,7,6187,2018,Sfr,2017-02-17,315000,39.6540614,-106.0737533,17,2,2017
6516456,Silverthorne,80498,3,3,2786,2015,Townhouse,2017-09-18,875000,39.6589233,-106.0748184,18,9,2017
6516453,Silverthorne,80498,3,4,2884,2015,Townhouse,2017-12-12,994000,39.6590814,-106.0752711,12,12,2017
6516297,Frisco,80443,2,2,1041,2014,Condominium,2017-05-22,695000,39.5752729,-106.097224,22,5,2017
6516426,Frisco,80443,1,1,840,2003,Condominium,2017-05-23,435000,39.57624129999999,-106.0967511,23,5,2017
901329,Dillon,80435,1,1,669,1985,Condominium,2017-06-21,320000,39.629796,-106.039132,21,6,2017
901103,Dillon,80435,3,3,1446,1978,Condominium,2017-01-03,226667,39.6269768,-106.0529045,3,1,2017
901230,Dillon,80435,2,2,988,1981,Condominium,2017-01-03,375000,39.6272455,-106.0437882,3,1,2017
901232,Dillon,80435,2,2,1072,1981,Condominium,2017-11-20,560000,39.6272455,-106.0437882,20,11,2017
901093,Dillon,80435,2,2,1171,1978,Condominium,2017-10-16,337500,39.6269768,-106.0529045,16,10,2017
901149,Dillon,80435,2,2,1007,1980,Condominium,2017-10-24,432000,39.62770709999999,-106.0434004,24,10,2017
901240,Dillon,80435,2,3,1749,1981,Condominium,2017-05-08,580000,39.6272455,-106.0437882,8,5,2017
901087,Dillon,80435,3,3,1634,1978,Condominium,2017-11-01,771000,39.6269768,-106.0529045,1,11,2017
901219,Dillon,80435,2,2,988,1981,Condominium,2017-07-14,425000,39.6272455,-106.0437882,14,7,2017
901169,Dillon,80435,2,2,1023,1980,Condominium,2017-05-12,434000,39.6275787,-106.0433329,12,5,2017
901130,Dillon,80435,3,2,1068,1973,Condominium,2017-01-23,335000,39.630756700000006,-106.0425724,23,1,2017
901414,Dillon,80435,3,4,2869,1994,Sfr,2017-10-27,889000,39.6218959,-106.0268117,27,10,2017
901418,Dillon,80435,3,3,3480,1994,Sfr,2017-10-27,883664,39.6217788,-106.0262856,27,10,2017
